epoch,training accuracy, testing accuracy
1,0.448092,0.426357
2,0.460515,0.434109
3,0.444543,0.426357
4,0.464951,0.403101
5,0.480035,0.457364
6,0.474712,0.426357
7,0.468500,0.441860
8,0.471162,0.449612
9,0.433008,0.379845
10,0.486247,0.441860
11,0.467613,0.418605
12,0.387755,0.379845
13,0.480035,0.472868
14,0.388642,0.379845
15,0.481810,0.434109
16,0.450754,0.387597
17,0.480923,0.449612
18,0.488021,0.457364
19,0.455191,0.434109
20,0.475599,0.457364
21,0.467613,0.418605
22,0.486247,0.449612
23,0.482697,0.441860
24,0.463177,0.441860
25,0.414374,0.410853
26,0.409938,0.403101
27,0.447205,0.410853
28,0.440994,0.410853
29,0.469388,0.441860
30,0.476486,0.434109
31,0.462289,0.472868
32,0.477374,0.449612
33,0.464951,0.465116
34,0.477374,0.449612
35,0.453416,0.426357
36,0.475599,0.449612
37,0.476486,0.418605
38,0.460515,0.511628
39,0.480923,0.457364
40,0.488021,0.465116
41,0.438332,0.395349
42,0.486247,0.441860
43,0.485359,0.441860
44,0.489796,0.449612
45,0.489796,0.441860
46,0.486247,0.465116
47,0.475599,0.465116
48,0.493345,0.472868
49,0.399290,0.356589
50,0.472937,0.426357
51,0.483585,0.457364
52,0.496894,0.457364
53,0.500444,0.434109
54,0.488021,0.457364
55,0.498669,0.426357
56,0.495120,0.457364
57,0.485359,0.457364
58,0.507542,0.426357
59,0.498669,0.426357
60,0.511979,0.457364
61,0.493345,0.457364
62,0.517303,0.457364
63,0.496894,0.457364
64,0.503106,0.465116
65,0.516415,0.457364
66,0.509317,0.449612
67,0.495120,0.457364
68,0.511091,0.449612
69,0.496894,0.457364
70,0.501331,0.457364
71,0.501331,0.465116
72,0.509317,0.472868
73,0.531500,0.441860
74,0.491571,0.441860
75,0.489796,0.465116
76,0.497782,0.457364
77,0.509317,0.449612
78,0.523514,0.441860
79,0.518190,0.441860
80,0.524401,0.465116
81,0.511979,0.457364
82,0.503993,0.434109
83,0.529725,0.457364
84,0.504880,0.441860
85,0.527063,0.449612
86,0.529725,0.434109
87,0.513753,0.434109
88,0.488021,0.403101
89,0.515528,0.410853
90,0.506655,0.465116
91,0.521739,0.449612
92,0.539485,0.441860
93,0.521739,0.441860
94,0.529725,0.426357
95,0.534161,0.472868
96,0.540373,0.449612
97,0.543922,0.472868
98,0.536823,0.441860
99,0.555457,0.449612
100,0.509317,0.457364
101,0.551020,0.434109
102,0.566105,0.465116
103,0.558119,0.496124
104,0.572316,0.465116
105,0.570541,0.472868
106,0.564330,0.449612
107,0.562555,0.465116
108,0.571429,0.441860
109,0.590062,0.465116
110,0.577640,0.441860
111,0.569654,0.449612
112,0.571429,0.449612
113,0.583851,0.472868
114,0.590949,0.472868
115,0.588287,0.441860
116,0.560781,0.457364
117,0.564330,0.441860
118,0.599823,0.449612
119,0.570541,0.449612
120,0.601597,0.449612
121,0.578527,0.441860
122,0.582076,0.441860
123,0.576752,0.434109
124,0.593611,0.441860
125,0.598048,0.449612
126,0.576752,0.441860
127,0.574091,0.426357
128,0.596273,0.434109
129,0.604259,0.457364
130,0.592724,0.465116
131,0.605146,0.503876
132,0.620231,0.449612
133,0.579414,0.457364
134,0.610470,0.465116
135,0.619343,0.472868
136,0.619343,0.441860
137,0.585626,0.457364
138,0.636202,0.441860
139,0.581189,0.426357
140,0.643301,0.426357
141,0.618456,0.449612
142,0.617569,0.426357
143,0.593611,0.449612
144,0.576752,0.441860
145,0.653061,0.426357
146,0.610470,0.449612
147,0.632653,0.434109
148,0.653949,0.426357
149,0.656610,0.418605
150,0.662822,0.426357
151,0.685892,0.457364
152,0.694765,0.426357
153,0.654836,0.434109
154,0.677906,0.465116
155,0.687666,0.465116
156,0.707187,0.449612
157,0.698314,0.465116
158,0.676131,0.449612
159,0.697427,0.472868
160,0.708962,0.441860
161,0.698314,0.457364
162,0.700089,0.449612
163,0.700976,0.441860
164,0.724046,0.426357
165,0.696539,0.457364
166,0.720497,0.403101
167,0.717835,0.434109
168,0.713398,0.465116
169,0.718722,0.465116
170,0.706300,0.418605
171,0.722272,0.449612
172,0.701863,0.434109
173,0.731145,0.457364
174,0.716060,0.426357
175,0.736469,0.387597
176,0.708962,0.441860
177,0.726708,0.449612
178,0.718722,0.441860
179,0.751553,0.441860
180,0.724046,0.418605
181,0.741792,0.418605
182,0.738243,0.441860
183,0.734694,0.457364
184,0.728483,0.426357
185,0.739130,0.434109
186,0.763088,0.434109
187,0.747116,0.434109
188,0.762201,0.426357
189,0.755102,0.418605
190,0.732032,0.426357
191,0.755102,0.434109
192,0.726708,0.434109
193,0.767524,0.457364
194,0.759539,0.426357
195,0.764862,0.457364
196,0.761313,0.434109
197,0.770186,0.418605
198,0.774623,0.387597
199,0.780834,0.395349
200,0.776398,0.426357
201,0.783496,0.434109
202,0.790594,0.395349
203,0.792369,0.418605
204,0.785271,0.465116
205,0.801242,0.403101
206,0.803017,0.441860
207,0.805679,0.418605
208,0.817214,0.441860
209,0.814552,0.403101
210,0.811003,0.449612
211,0.817214,0.395349
212,0.806566,0.434109
213,0.811003,0.379845
214,0.801242,0.457364
215,0.825200,0.395349
216,0.823425,0.403101
217,0.811003,0.387597
218,0.819876,0.341085
219,0.818988,0.403101
220,0.818101,0.426357
221,0.828749,0.387597
222,0.826974,0.348837
223,0.817214,0.434109
224,0.830524,0.403101
225,0.817214,0.449612
