train_acc,test_acc
0.391566,0.348485
0.238382,0.272727
0.231497,0.212121
0.290017,0.250000
0.439759,0.416667
0.451807,0.439394
0.471601,0.446970
0.484509,0.454545
0.423408,0.393939
0.469880,0.431818
0.452668,0.446970
0.308090,0.333333
0.473322,0.424242
0.462134,0.446970
0.472461,0.439394
0.455250,0.446970
0.438038,0.401515
0.480207,0.454545
0.423408,0.446970
0.408778,0.416667
0.477625,0.462121
0.463855,0.462121
0.471601,0.462121
0.469880,0.454545
0.469019,0.446970
0.480207,0.424242
0.484509,0.454545
0.473322,0.462121
0.455250,0.446970
0.484509,0.454545
0.474182,0.431818
0.477625,0.446970
0.437177,0.386364
0.402754,0.363636
0.467298,0.446970
0.405336,0.401515
0.451807,0.424242
0.481067,0.446970
0.479346,0.462121
0.481067,0.424242
0.445783,0.386364
0.475043,0.416667
0.475043,0.454545
0.475904,0.477273
0.468158,0.454545
0.477625,0.462121
0.464716,0.439394
0.481928,0.462121
0.440620,0.446970
0.471601,0.401515
0.478485,0.416667
0.481067,0.454545
0.487091,0.454545
0.487091,0.462121
0.474182,0.431818
0.479346,0.439394
0.490534,0.454545
0.487952,0.424242
0.487952,0.431818
0.484509,0.469697
0.477625,0.469697
0.496558,0.431818
0.504303,0.446970
0.493115,0.484848
0.483649,0.424242
0.484509,0.439394
0.469880,0.439394
0.490534,0.462121
0.498279,0.424242
0.499139,0.446970
0.491394,0.446970
0.491394,0.469697
0.482788,0.431818
0.500000,0.439394
0.487091,0.454545
0.490534,0.469697
0.497418,0.484848
0.500861,0.409091
0.481067,0.446970
0.475043,0.409091
0.498279,0.454545
0.480207,0.446970
0.500000,0.409091
0.499139,0.484848
0.493976,0.454545
0.511188,0.439394
0.516351,0.439394
0.499139,0.469697
0.500000,0.477273
0.500000,0.469697
0.520654,0.477273
0.492255,0.462121
0.502582,0.454545
0.518933,0.500000
0.494836,0.469697
0.495697,0.454545
0.498279,0.462121
0.518072,0.439394
0.492255,0.431818
0.521515,0.424242
0.518933,0.446970
0.532702,0.484848
0.547332,0.454545
0.540448,0.446970
0.556799,0.424242
0.538726,0.431818
0.525818,0.462121
0.553356,0.431818
0.533563,0.469697
0.548193,0.462121
0.553356,0.446970
0.530981,0.484848
0.506024,0.477273
0.555938,0.469697
0.537005,0.469697
0.553356,0.431818
0.561962,0.492424
0.561102,0.446970
0.574010,0.462121
0.550775,0.446970
0.526678,0.462121
0.574871,0.462121
0.582616,0.454545
0.574010,0.477273
0.554217,0.454545
0.573150,0.454545
0.550775,0.469697
0.556799,0.454545
0.529260,0.454545
0.573150,0.469697
0.608434,0.462121
0.577453,0.469697
0.584337,0.454545
0.576592,0.454545
0.566265,0.454545
0.593804,0.431818
0.601549,0.469697
0.600688,0.515152
0.603270,0.454545
0.623064,0.454545
0.551635,0.439394
0.602410,0.431818
0.605852,0.409091
0.609294,0.462121
0.575731,0.454545
0.585198,0.469697
0.574010,0.454545
0.625645,0.446970
0.607573,0.446970
0.561962,0.431818
0.623924,0.462121
0.601549,0.484848
0.634251,0.477273
0.654905,0.439394
0.626506,0.507576
0.654905,0.454545
0.633391,0.454545
0.642857,0.462121
0.634251,0.446970
0.648021,0.446970
0.667814,0.454545
0.614458,0.446970
0.613597,0.469697
0.649742,0.469697
0.655766,0.446970
0.630809,0.462121
0.653184,0.477273
0.654905,0.462121
0.668675,0.446970
0.652324,0.454545
0.662651,0.469697
0.664372,0.424242
0.676420,0.462121
0.663511,0.454545
0.679862,0.484848
0.672117,0.454545
0.672117,0.439394
0.679002,0.462121
0.680723,0.454545
0.663511,0.439394
0.699656,0.431818
0.690189,0.462121
0.672978,0.446970
0.669535,0.469697
0.634251,0.484848
0.666093,0.462121
0.695353,0.409091
0.678141,0.416667
0.680723,0.431818
0.696213,0.401515
0.706540,0.401515
0.697935,0.431818
0.704819,0.393939
0.697074,0.462121
0.716867,0.386364
0.686747,0.439394
0.720310,0.386364
0.706540,0.424242
0.703098,0.401515
0.708262,0.393939
